Keep on tryna hide it but your friends know,The Weeknd
"Only you to trust, only you",The Weeknd
The only time I'd ever call you mine,The Weeknd
The only time that I'll be by your side,The Weeknd
Tryna keep it up don't seem so simple,The Weeknd
"When I'm fucked up, that's the real me",The Weeknd
"When I'm fucked up, that's the real me, babe",The Weeknd
"When I'm fucked up, that's the real me, yeah",The Weeknd
Who are you to judge? Who are you to judge?,The Weeknd
Yeah,The Weeknd
"Yene fikir, fikir, fikir, fikir",The Weeknd
"Yene konjo, ewedihalehu",The Weeknd
"Your man on the road, he doin' promo",The Weeknd
"""Seneler sürer her günüm""",The Weeknd
"""Yalnız gitmekten yorgunum""",The Weeknd
"Asked how many times she rode the wave, ""Not so often""",The Weeknd
"Baby I can make that pussy rain, often",The Weeknd
"Bitches down to do it either way, often",The Weeknd
But I see your eyes,The Weeknd
But we ain't really going to sleep at all,The Weeknd
"Girl, I'll go again",The Weeknd
He get me redder than the devil 'til I go nauseous,The Weeknd
"I come around, she leave that nigga like he ain't matter",The Weeknd
I usually love sleeping all alone,The Weeknd
"I'm never sour, I'm just smokin' somethin' much louder",The Weeknd
"If I had her, you can have her, man it don't matter",The Weeknd
In my city I'm a young god,The Weeknd
Infatuated by the fame status,The Weeknd
"Make that pussy poppin', do it how I want it",The Weeknd
"My god white, he in my pocket",The Weeknd
Often,The Weeknd
"Often, often, girl I do this often",The Weeknd
"Ooh yeah, ooh yeah, ooh yeah, ooh yeah",The Weeknd
"Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah",The Weeknd
"Oooh, the sun's risin' up",The Weeknd
She 'bout to go downtown for a whole hour,The Weeknd
"She asked me if I do this every day, I said ""Often""",The Weeknd
She's just happy that the crew's back in town,The Weeknd
"That girl been drinkin' all day, need to change bladder",The Weeknd
That pussy kill be so vicious,The Weeknd
The night's almost done,The Weeknd
The night's almost up,The Weeknd
This time around bring your friend with you,The Weeknd
You ain't gonna catch me with them sneak pictures,The Weeknd
You wanna go again,The Weeknd
